ticker,company_name,sector,industry,country,exchange,index_membership,market_cap,market_cap_bucket,price,liquidity,source,updated_at,quality_flag
EL.PA,,,,France,,static_euro_stoxx_50,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
ERG.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
FBK.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
G.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
GOOGL,,,,,,static_sp500_core_sample,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
HD,,,,,,static_sp500_core_sample,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
HER.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
IBE.MC,,,,Spain,,static_euro_stoxx_50,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
IG.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
INW.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
ITX.MC,,,,Spain,,static_euro_stoxx_50,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
IVG.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
JPM,,,,,,static_sp500_core_sample,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
LDO.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
LLY,,,,,,static_sp500_core_sample,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
MA,,,,,,static_sp500_core_sample,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
MB.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
MC.PA,,,,France,,static_euro_stoxx_50,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
META,,,,,,static_sp500_core_sample,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
MONC.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
MRK,,,,,,static_sp500_core_sample,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
MSFT,,,,,,static_sp500_core_sample,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
NEXI.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
NVDA,,,,,,static_sp500_core_sample,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
OR.PA,,,,France,,static_euro_stoxx_50,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
PG,,,,,,static_sp500_core_sample,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
PIRC.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
PRY.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
PST.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
RACE.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
REC.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
SAN.PA,,,,France,,static_euro_stoxx_50,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
SAP.DE,,,,Germany,,static_euro_stoxx_50,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
SIE.DE,,,,Germany,,static_euro_stoxx_50,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
SRG.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
STLAM.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
STM.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
SU.PA,,,,France,,static_euro_stoxx_50,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
TEN.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
TIT.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
TRN.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
TTE.PA,,,,France,,static_euro_stoxx_50,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
UCG.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
UNH,,,,,,static_sp500_core_sample,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
UNI.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
V,,,,,,static_sp500_core_sample,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
XOM,,,,,,static_sp500_core_sample,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
