domain,dataset,label,provider,frequency,start_date_target,target_path,exists,priority,expected_items
factor_data,FF3_daily,FF3 daily,fama_french,daily,source_history,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Factors/FamaFrench/FF3_daily.csv,True,1,
factor_data,FF5_monthly,FF5 monthly,fama_french,monthly,source_history,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Factors/FamaFrench/FF5_monthly.csv,False,1,
factor_data,FF5_daily,FF5 daily,fama_french,daily,source_history,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Factors/FamaFrench/FF5_daily.csv,False,1,
factor_data,Momentum_monthly,Momentum monthly,fama_french,monthly,source_history,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Factors/FamaFrench/Momentum_monthly.csv,False,2,
factor_data,Momentum_daily,Momentum daily,fama_french,daily,source_history,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Factors/FamaFrench/Momentum_daily.csv,False,1,
factor_data,Industry_10_monthly,Industry 10 monthly,fama_french,monthly,source_history,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Factors/FamaFrench/Industry_10_monthly.csv,False,2,
factor_data,Industry_10_daily,Industry 10 daily,fama_french,daily,source_history,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Factors/FamaFrench/Industry_10_daily.csv,False,1,
factor_data,Industry_49_monthly,Industry 49 monthly,fama_french,monthly,source_history,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Factors/FamaFrench/Industry_49_monthly.csv,False,2,
factor_data,Global_3_monthly,Global 3 monthly,fama_french,monthly,source_history,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Factors/FamaFrench/Global_3_monthly.csv,False,2,
factor_data,Global_3_daily,Global 3 daily,fama_french,daily,source_history,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Factors/FamaFrench/Global_3_daily.csv,False,1,
factor_data,Developed_3_monthly,Developed 3 monthly,fama_french,monthly,source_history,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Factors/FamaFrench/Developed_3_monthly.csv,False,2,
factor_data,Emerging_5_monthly,Emerging 5 monthly,fama_french,monthly,source_history,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Factors/FamaFrench/Emerging_5_monthly.csv,False,2,
factor_data,QMJ,Quality Minus Junk,aqr,daily_or_monthly,source_history,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/alpha_factor_library/aqr,True,2,
factor_data,BAB,Betting Against Beta,aqr,daily_or_monthly,source_history,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/alpha_factor_library/aqr,True,2,
factor_data,HML_Devil,The Devil in HML's Details,aqr,daily_or_monthly,source_history,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/alpha_factor_library/aqr,True,2,
factor_data,Momentum,AQR Momentum Indices,aqr,daily_or_monthly,source_history,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/alpha_factor_library/aqr,True,2,
factor_data,Value_Momentum_Everywhere,Value and Momentum Everywhere,aqr,daily_or_monthly,source_history,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/alpha_factor_library/aqr,True,2,
fx,EURUSD,EURUSD,yfinance,daily,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/FX/EURUSD.parquet,False,1,EURUSD=X
fx,GBPUSD,GBPUSD,yfinance,daily,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/FX/GBPUSD.parquet,False,1,GBPUSD=X
fx,USDJPY,USDJPY,yfinance,daily,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/FX/USDJPY.parquet,False,1,USDJPY=X
fx,AUDUSD,AUDUSD,yfinance,daily,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/FX/AUDUSD.parquet,False,1,AUDUSD=X
fx,USDCAD,USDCAD,yfinance,daily,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/FX/USDCAD.parquet,False,1,USDCAD=X
fx,USDCHF,USDCHF,yfinance,daily,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/FX/USDCHF.parquet,False,1,USDCHF=X
fx,NZDUSD,NZDUSD,yfinance,daily,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/FX/NZDUSD.parquet,False,1,NZDUSD=X
fx,EURGBP,EURGBP,yfinance,daily,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/FX/EURGBP.parquet,False,1,EURGBP=X
fx,EURJPY,EURJPY,yfinance,daily,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/FX/EURJPY.parquet,False,1,EURJPY=X
fx,DXY,DXY,yfinance,daily,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/FX/DXY.parquet,False,1,DX-Y.NYB
commodities,WTI,WTI,yfinance,daily,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Commodities/WTI.parquet,False,2,CL=F
commodities,Brent,Brent,yfinance,daily,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Commodities/Brent.parquet,False,2,BZ=F
commodities,NaturalGas,NaturalGas,yfinance,daily,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Commodities/NaturalGas.parquet,False,2,NG=F
commodities,Gold,Gold,yfinance,daily,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Commodities/Gold.parquet,False,2,GC=F
commodities,Silver,Silver,yfinance,daily,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Commodities/Silver.parquet,False,2,SI=F
commodities,Platinum,Platinum,yfinance,daily,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Commodities/Platinum.parquet,False,2,PL=F
commodities,Palladium,Palladium,yfinance,daily,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Commodities/Palladium.parquet,False,2,PA=F
commodities,Copper,Copper,yfinance,daily,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Commodities/Copper.parquet,False,2,HG=F
commodities,Corn,Corn,yfinance,daily,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Commodities/Corn.parquet,False,2,ZC=F
commodities,Wheat,Wheat,yfinance,daily,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Commodities/Wheat.parquet,False,2,ZW=F
commodities,Soybeans,Soybeans,yfinance,daily,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Commodities/Soybeans.parquet,False,2,ZS=F
commodities,GSCI,GSCI,yfinance,daily,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Commodities/GSCI.parquet,False,2,GSG
commodities,DBC,DBC,yfinance,daily,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Commodities/DBC.parquet,False,2,DBC
risk_factors,BAA,Moodys Seasoned Baa Corporate Bond Yield,fred,daily_or_business,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/RiskFactors/fred/BAA.csv,False,1,
risk_factors,AAA,Moodys Seasoned Aaa Corporate Bond Yield,fred,daily_or_business,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/RiskFactors/fred/AAA.csv,False,1,
risk_factors,BAMLH0A0HYM2,ICE BofA US High Yield Option-Adjusted Spread,fred,daily_or_business,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/RiskFactors/fred/BAMLH0A0HYM2.csv,False,1,
risk_factors,DGS10,10-Year Treasury Constant Maturity,fred,daily_or_business,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/RiskFactors/fred/DGS10.csv,False,1,
risk_factors,DGS2,2-Year Treasury Constant Maturity,fred,daily_or_business,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/RiskFactors/fred/DGS2.csv,False,1,
risk_factors,DGS3MO,3-Month Treasury Constant Maturity,fred,daily_or_business,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/RiskFactors/fred/DGS3MO.csv,False,1,
risk_factors,DFII10,10-Year TIPS Real Yield,fred,daily_or_business,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/RiskFactors/fred/DFII10.csv,False,1,
risk_factors,T10YIE,10-Year Breakeven Inflation,fred,daily_or_business,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/RiskFactors/fred/T10YIE.csv,False,1,
risk_factors,VIX,VIX,yfinance,daily,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/RiskFactors/volatility/VIX.parquet,False,1,^VIX
risk_factors,VXN,VXN,yfinance,daily,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/RiskFactors/volatility/VXN.parquet,False,1,^VXN
risk_factors,RVX,RVX,yfinance,daily,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/RiskFactors/volatility/RVX.parquet,False,1,^RVX
risk_factors,MOVE_proxy,MOVE_proxy,yfinance,daily,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/RiskFactors/volatility/MOVE_proxy.parquet,False,1,MOVE
official_macro,hicp_euro_area_yoy,"Euro area HICP overall index, annual rate of change",ecb,monthly,source_history,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/OfficialMacro/ECB/hicp_euro_area_yoy.csv,False,1,ICP/M.U2.N.000000.4.ANR
official_macro,policy_rate_mro,ECB main refinancing operations fixed rate,ecb,daily,source_history,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/OfficialMacro/ECB/policy_rate_mro.csv,False,1,FM/D.U2.EUR.4F.KR.MRR_FR.LEV
official_macro,policy_rate_deposit,ECB deposit facility rate,ecb,daily,source_history,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/OfficialMacro/ECB/policy_rate_deposit.csv,False,1,FM/D.U2.EUR.4F.KR.DFR.LEV
official_macro,policy_rate_marginal_lending,ECB marginal lending facility rate,ecb,daily,source_history,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/OfficialMacro/ECB/policy_rate_marginal_lending.csv,False,1,FM/D.U2.EUR.4F.KR.MLFR.LEV
official_macro,m2_notional_stock_index,"Euro area M2, MFI BSI index of notional stocks",ecb,monthly,source_history,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/OfficialMacro/ECB/m2_notional_stock_index.csv,False,2,BSI/M.U2.Y.V.M20.X.I.U2.2300.Z01.E
official_macro,m3_notional_stock_index,"Euro area M3, MFI BSI index of notional stocks",ecb,monthly,source_history,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/OfficialMacro/ECB/m3_notional_stock_index.csv,False,2,BSI/M.U2.Y.V.M30.X.I.U2.2300.Z01.E
official_macro,credit_growth,"Principali aggregati monetari e creditizi, variazioni percentuali sui 12 mesi",bancaditalia,monthly,source_history,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/OfficialMacro/BancaItalia/credit_growth.csv,False,1,CUBE/AGGM0500
official_macro,credit_counterparts,"Contropartite italiane della moneta dell'area dell'euro, consistenze",bancaditalia,monthly,source_history,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/OfficialMacro/BancaItalia/credit_counterparts.csv,False,1,CUBE/AGGM0300
official_macro,deposit_rates,"Tassi sui depositi in euro di famiglie e societa non finanziarie, nuove operazioni",bancaditalia,monthly,source_history,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/OfficialMacro/BancaItalia/deposit_rates.csv,False,2,CUBE/MIR0700
official_macro,deposit_volumes,"Volumi sui depositi in euro di famiglie e societa non finanziarie, nuove operazioni",bancaditalia,monthly,source_history,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/OfficialMacro/BancaItalia/deposit_volumes.csv,False,2,CUBE/MIR0900
official_macro,official_rates_bdi,Tassi d'interesse ufficiali dell'Eurosistema,bancaditalia,event,source_history,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/OfficialMacro/BancaItalia/official_rates_bdi.csv,False,2,CUBE/TUFF0100
official_macro,public_debt,"Finanza pubblica: fabbisogno e debito, tavola principale",bancaditalia,monthly,source_history,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/OfficialMacro/BancaItalia/public_debt.csv,False,1,CUBE/TCCE0100
ohlcv_prices,asset_master,OHLCV asset master,yfinance_stooq_alpha_vantage,daily_or_5m,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/MarketData/OHLCV/asset_master_candidates.csv,True,1,
ohlcv_prices,ohlcv_sqlite,OHLCV SQLite/Postgres mirror,yfinance_stooq_alpha_vantage,daily_or_5m,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/MarketData/ohlcv.sqlite,False,1,
ohlcv_prices,daily_manifest,Daily OHLCV ingest manifest,yfinance_stooq_alpha_vantage,daily_or_5m,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/MarketData/OHLCV/manifests/ohlcv_daily_manifest.csv,True,1,
ohlcv_prices,daily_parquet,Daily OHLCV parquet root,yfinance_stooq_alpha_vantage,daily_or_5m,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/MarketData/OHLCV/daily,True,1,
ohlcv_prices,intraday_5m_manifest,Optional 5m OHLCV manifest,yfinance_stooq_alpha_vantage,daily_or_5m,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/MarketData/OHLCV/manifests/ohlcv_intraday_5m_manifest.csv,False,3,
